Titre,Type de contrat,Bac,Durée,Début,Nom entreprise,Localisation,Description,Salaire,Period. salaire,url
STAGIAIRE RH,stage,,,,MAROQUINERIE DE SAINT-ANTOINE,Paris (75),"




    Contract type: 
   Internship
  


     Country: 
   France
  


     City: 
   PARIS
  


     Job: 
   Human Resources, Organisation
  


     Experience:
   



     Company: 
   MAROQUINERIE DE SAINT-ANTOINE
  

",,,https://fr.indeed.com/rc/clk?jk=3150e8b75fa1355a&fccid=f861058024549cd7&vjs=3
Stage chargé de marketing (F/H),stage,,,,Nathan,Paris (75),"

  Au sein de l’équipe marketing Nathan écoles et MDI, vous assurerez les missions suivantes :
  

Participation à la conception et à la réalisation des outils marketing print : catalogues, dépliants, outils de vente, affiches…
Animation et mise à jour des sites Nathan enseignants et MDI : bannières promotionnelles, encarts, fiches produits, feuilletage des ouvrages…
Participation à la réalisation des emailings et des campagnes de marketing digital : rédaction des messages, brief des prestataires externes ou conception en interne, gestion des plannings d’envoi et analyse des résultats des campagnes
Aide à la réalisation de dispositifs marketing online : webinaire, vidéos, interview auteurs…
Référencement des ouvrages sur les plateformes de vente en ligne : Amazon, librairies en ligne…
Valorisation des collections sur les réseaux sociaux
Veille concurrentielle et benchmarking


",,,https://fr.indeed.com/rc/clk?jk=afd6523f2433bbab&fccid=b0ff091ad0a7253e&vjs=3
Stagiaire en développement informatique H/F,stage,,3 mois,,PRO IMPEC - Groupe Pascal BOULANGER,59130 Lambersart,"Expert depuis plus de 30 ans dans le domaine de la Propreté, Pro Impec et ses 5000 collaborateurs dans toute la France offrent à ses clients des solutions adaptées à leur environnement de travail grâce à la qualité, la formation et la motivation de ses équipes.
Afin de poursuivre de poursuivre le développement et affiner nos outils de chiffrage, nous recherchons un(e) STAGIAIRE EN DEVELOPPEMENT INFORMATIQUE – démarrage dès que possible.
Vos activités principales sont les suivantes :
Participer au développement des matrices via la programmation de macros (VBA) et de formules matricielles sur Excel
Mise à jour d'une base de données Excel
Interpeler la base de données avec les grilles de chiffrage
Pour réussir dans ce poste vous devrez :
· Disposer de connaissances approfondies en Excel
· Maîtriser la programmation VBA
· Etre organisé(e), rigoureux(se), précis(e) et méthodique
Type d'emploi : Temps plein, StageDurée du contrat : 3 mois
Salaire : à partir de 614,00€ par mois
Programmation :

Du Lundi au Vendredi
Horaires aménageables
Repos le week-end

Lieu du poste : Un seul lieu de travail"," à partir de 614,00€ ",mois,https://fr.indeed.com/company/PRO-IMPEC-Groupe-Pascal-BOULANGER/jobs/Stagiaire-D%C3%A9veloppement-Informatique-f0695ca314a395a7?fccid=de8d01795fba72f6&vjs=3
STAGE - Système d'information Comptable (H/F) - Février 2023,stage, Master ,6 mois,,Danone,Rueil-Malmaison (92),"
 About the job 
 Ce stage système d'information comptable (H/F) se déroulera au sein de notre siège France de Rueil-Malmaison pour une durée de 6 mois dès que possible.
 Contexte :
 One Danone Business Services (ODBS) est une organisation multi-fonctions, en charge de 5 grands process, au service du business : le Cycle Fournisseur, le Cycle Client, le Cycle Financier, les Master Data, et les Services aux Salariés. Notre ambition est d'offrir une expérience utilisateur de première qualité aux Danoners, à nos Clients et à nos Fournisseurs, à coût compétitif et de garantir la compliance de nos opérations, pour faire gagner Danone durablement. La performance, l'esprit d'équipe, la transformation de nos process et la digitalisation sont le cœur de notre activité.
 Les missions :

   Accompagné.e par le Manager Senior Taxes, vous participez à la transformation de la Finance et au renforcement de la fonction Taxes au sein de ODBS en proximité avec les Business Units du groupe en leur apportant votre dynamisme.
   Vous vous verrez confier en particulier les missions suivantes :
  

Participation active aux projets de transformation digitale de la fonction Taxes
Participation à la mission principale de l'équipe Taxes : garantir la compliance fiscale de Danone France
 Principales responsabilités :
  

Création de requête et analyse des données permettant la fiabilisation des déclarations (TVA, DEB)
Détection d'anomalies comptables pour fiabilisation des écritures comptables (FEC)
Monitoring des écritures des TVA (Autoposting)
 Relations fonctionnelles/interfaces :
  

Experts IT et transformation digitale en lien avec nos outils ERP et finances
Membres de l'équipe Finance du ODBS, membres de l'équipe Corporate Tax


 Les + de ce stage :

Une gratification allant de 1120€ (Bac+4) à 1300€ (Bac+5) brut/mois
About you 
 Les indispensables :

Etudiant(e) en Bac+4/5 minimum, issu(e) d’une formation en école de commerce ou université.
Vous maitrisez les outils bureautiques (Excel, Word, Power BI etc.)
Vous faîtes preuve d'intérêt pour les ERP comme SAP, Magnitude ou les outils déclaratifs (CEGID)
Vous êtes rigoureux et avez le sens du détail
Vous disposez de bonnes capacités de communication (écrit/oral) et êtes ouvert et polyvalent.

 Nous sommes fiers de promouvoir la diversité et l’égalité des chances au sein de nos équipes. Nous sommes convaincus que nos différences font la différence et qu’un environnement de travail inclusif stimulera notre croissance en tant qu'entreprise, en tant qu'équipes et en tant qu'individus. Nous considérerons donc toutes les candidatures* en favorisant une culture de travail inclusive où chaque individu peut se sentir à sa place.

Toutes les candidatures seront considérées sans tenir compte de l’origine, du parcours, de la religion, du sexe, de l’orientation sexuelle, de l’identité de genre, du handicap…
 About us 
 Parce que nous voulons que votre expérience chez Danone soit un tournant décisif dans votre parcours, nous vous proposons un programme d’accompagnement spécifique, le programme Grandir by Danone. Vous y retrouverez un suivi managérial régulier dans un environnement aussi challengeant que bienveillant.
 Grandir by Danone, ce sont aussi des moments d'échange et de partage, des rencontres et des sessions découverte de nos métiers qui façonneront vos projets, sans oublier les sessions coaching organisées pour que vous deveniez acteur de votre développement.
 Grandir by Danone, c'est apprendre à mieux vous connaître pour construire votre propre parcours.
 Nous avons hâte de vous voir Grandir by Danone, candidatez et rejoignez l'aventure !
 Vous voulez en savoir plus sur nos actualités, notre quotidien et nos équipes, suivez nos aventures sur notre compte Instagram @DanoneTalentFrance !
 #LI-FR
",,,https://fr.indeed.com/rc/clk?jk=664e085bfbbd1c4b&fccid=1d449a8e14af7cf3&vjs=3
Data analyst(e) - IA - Stage - H/F,stage,,6 mois,01/04/2023,Dataleon,75009 Paris 9e,"Dataleon est une plateforme B2B d’intelligence artificielle et de computer vision en forte
croissance. Elle vise à faciliter l’extraction des données, à partir de documents ou d’images, sur lesquels les entreprises peuvent s’appuyer dans leur prise de décision.
L’expertise de Dataleon et ses technologies sont mises à profit pour répondre à 3 objectifs :

Améliorer l’exploitation des données pour servir la productivité et la performance des entreprises.
Générer des modèles (algorithmes) précis et flexibles qui visent à pallier les potentielles erreurs humaines.
Mettre à disposition des produits déployables rapidement par tous grâce à un système No-code.

Plus de 100 entreprises à travers le monde font confiance à Dataleon, issues de secteurs très variés comme la finance/ comptabilité, l’assurance, la logistique, le transport, la
télécommunication, l’immobilier, mais aussi l’univers musical.
Tes missions :
- Développer des scripts Python pour la data-préparation avant la labellisation des données sur notre plateforme.
- Gestion de la labellisation des données sur la plateforme Dataleon, entrainement des modèles IA avec une technologie no-code/low-code, et analyser les metrics de performance.
- Déployer des APIs en production respectant les régles metiers fournis dans les cahiers de charges par le client
- Analyse et amélioration du data pipeline IA : tu deviendras un(e) expert(e) de notre data flow complexe.
- Proposer et présenter aux clients les résultats de l'IA - Appliquer des tests de données et des tests data de nos APIs
Notre Stack Technique !

Python, Pytorch, OpenCV, Pillow, PostgreSQL
Intégration continue et déploiement continue avec Github actions
Test unitaire avec Pytest
Notion & Github & Sentry
Agile & Scrum
GPU, Serverless AWS, S3, IoT, PubNub
Tous les tools sont connectés à notre Slack

Profil recherché
Pour continuer d’enrichir nos offres et en créer d’autres, nous recherchons des data analysts passionnés, ambitieux et rigoureux qui aiment relever des défis avec créativité et pragmatisme sur des problématiques de traitements d'images
Pour intégrer Dataleon :
* Une grande sensibilité aux algorithmes de traitement d'image en Python.
* Analyser des données et suivi de la qualité des modéles
* De très bonnes connaissances en Programmation sera appréciée
Ta personnalité
* Rigoureux(se), autonome, organisé(e) et passionné(e).
* Tu as un attrait pour les produits innovants et les nouveautés technologiques.
Tu as une bonne compréhension technique générale et notamment sur le Deep Learning et Computer vision. Force de persuasion, tu as le sens de l’organisation et de la rigueur, complété d’un très bon sens du relationnel.
Au cours du process de recrutement, nous serons surtout attentifs à l’importance que vous portez à votre niveau de pratique en traitement et analyse des données.
Type d'emploi : StageDurée du contrat : 6 mois
Avantages :

Participation au Transport
Titre-restaurant

Programmation :

Du Lundi au Vendredi
Travail en journée

Lieu du poste : Un seul lieu de travail
Date limite de candidature : 28/02/2023Date de début prévue : 01/04/2023",,,https://fr.indeed.com/company/Dataleon/jobs/Data-Analyst-ac6715439d513604?fccid=5ecb682c0d27509e&vjs=3
Stage informatique,stage,,2 mois,09/05/2023,PRODISER,94150 Rungis,"Stage service informatique – 2 mois.
La société PRODISER développe depuis plusieurs dizaines d'années une offre diversifiée de services aux entreprises. En effet, elle exploite, pour son activité d'organisateur de concours et d'examens mais aussi d'événementiel d'entreprise, un site de près de 13 000m² situé à Rungis (Espace Jean Monnet).Fort d’un cadre familial et axé vers le progrès, PRODISER a pour objectif le déploiement de l’entreprise et le développement de sa force de travail.
Nous recherchons un/une stagiaire informatique sous la responsabilité du Technicien Systèmes & Réseaux, vous devrez mener à bien les missions suivantes :
Mission(s) principale(s)

Installer et veiller au bon fonctionnement des outils informatiques.
Répondre aux demandes d’assistance des collaborateurs et utilisateurs (Niveau 1 et 2).

Activités et tâches

Assurer la maintenance des ordinateurs et des imprimantes (remplacement du matériel, entretien technique, entretien du consommables).
Garantir le déploiement des postes et des périphériques répondant aux besoins communiqués (installation, configuration et tests).
Assurer le dépannage hardware auprès des utilisateurs.
Anticiper la mastérisation et les transferts de données utilisateurs.

Connaissances techniques souhaitées : environnement Web, connaissance base de données, et quelques langages Front-End.
Localisation du poste : Rungis
Durée du stage : du 09/05/23 au 30/06/23
Temps de travail : 35h par semaine (9h/12h30 – 13h30/17h)
Type d'emploi : Temps plein, StageDurée du contrat : 2 mois
Avantages :

Participation au Transport
Titre-restaurant

Programmation :

Du Lundi au Vendredi
Travail en journée

Lieu du poste : Un seul lieu de travail
Date de début prévue : 09/05/2023",,,https://fr.indeed.com/company/PRODISER/jobs/Stage-Informatique-1842dcd94df8e90e?fccid=1928375550d215ca&vjs=3
OFFRE de STAGE INGÉNIEUR Produits CONNECTÉS • EMBARQUÉS Geotracking IOT M2M,"stage,télétravail"," M2,Bac ",3 mois,,IXIT Beeper,69400 Gleizé,"BEEPER • on tient la route
La société IXIT Beeper conçoit, importe et distribue des produits de mobilité électrique & d’électronique embarquée sous sa marque internationale BEEPER®. IXIT BEEPER est une PME en pleine croissance de 14 personnes réalisant un CA de 5 M€. Dans le cadre de notre développement, nous proposons une :
OFFRE de STAGE INGÉNIEURProduits CONNECTÉS EMBARQUÉS
Geotracking IOT M2M
H/F OFFRE de stage d’un minimum de 3 mois  Télétravail partiel possible
Si vous vous retrouvez dans ce profil …
Je suis passionné de produits hi-tech, de technologie embarquée et connectée J’aime suivre des actions sur le long terme pour les voir évoluer et réussir J’apprécie les petites astuces qui peuvent assurer l’essor d’une démarche Je suis un peu touche à tout, polyvalent et débrouillard dans le secteur informatique Je suis autonome, carré, méthodique, organisé
Descriptif du poste :
Nous sommes certains que ces missions seront pour vous …

Suivi & finalisation d’un produit télématique de geo-tracking : les solutions hardware et software sont développées et la mission consiste à finaliser les phases terminales de tests du back-office avant la mise sur le marché en relations avec les différents partenaires externes de l’entreprise


Tests en conditions réelles des produits sur véhicules


Suivi et finalisation des outils didactiques internes et externes (manuels d’utilisation)


Gestion et finalisation de l’API sur site WEB Prestashop


Gestion et finalisation du back office de gestion des comptes-clients du système

Type de contrat : Stage conventionné
Télétravail : Possible 1 à 2 jours par semaine selon le profil
Lieu Villefranche sur Saône - Gleizé - 69
Disponibilité : Dès que possible selon vos périodes de stage - Minimum 3 mois
Rémunération Rémunération conventionnée (4,05€ net par heure - soit environ 600 € par mois)
Prise en charge des frais de transport
Merci d’envoyer votre CV & lettre de motivation à job(at)beeper.fr
IXIT BEEPER228 rue de l‘Ancienne Distillerie - Parc d‘activité des Grillons _ 69400 Gleizé  FRANCE_Tél : +33(0)4 74 02 97 97 _ Fax : +33(0)4 74 02 97 98_www.beeper.fr
SARL au Capital de 61 000€ _ RCS 437 694 078 Villefranche Tarare  Siret 437 694 078 00027 _ N°TVA : FR 36 437 694 078  EORI : FR 437 694 078 000 27 _ Code APE NAF : 4531Z_
Type d'emploi : StageDurée du contrat : 3 mois
Salaire : 4,05€ par heure
Avantages :

Horaires flexibles
Participation au Transport
Réductions Tarifaires
Travail à domicile

Programmation :

Du Lundi au Vendredi
Horaires aménageables
Horaires flexibles
Repos le week-end
Travail en journée

Types de primes et de gratifications :

Primes

Formation:

Bac +2 (BTS, DUT, DEUG) (Exigé)

Lieu du poste : Télétravail hybride (69400 Gleizé)",,,https://fr.indeed.com/company/IXIT-Beeper/jobs/Offre-Stage-Ing%C3%A9nieur-Produits-Connect%C3%A9s-Embarqu%C3%A9s-Geotracking-Iot-f54ed8525c28f8fc?fccid=76f0e641ecdc2682&vjs=3
STAGE - Contrôle de gestion C8/CSTAR - F/H,stage,BAC ,,juillet 2023,Canal Plus,Issy-les-Moulineaux (92),"
Premier groupe de média audiovisuel français et filiale à 100% de Vivendi, groupe mondial expert dans les médias, les contenus et la communication, Groupe Canal+ est leader dans l’édition de chaînes payantes et thématiques ainsi que dans l’agrégation et la distribution d’offres de télévision payante.
Actuellement en fort développement en Afrique, en Asie-Pacifique et en Europe centrale et orientale, le Groupe Canal+ compte au total déjà près de 25 millions d’abonnés (10 millions en France et 15 millions à l’international) pour un chiffre d’affaires de près de 6Mds€. Sa filiale Studiocanal est un leader européen dans la production, l’acquisition et la distribution de films de cinéma et de séries TV.
 Acteur historique dans la distribution de contenus premiums cinémas / sport / séries, Groupe Canal + est aussi leader sur la technologie, avec notamment la plateforme MyCanal en France, en Pologne ou en Afrique.


Description de l'entreprise
Vous voulez rejoindre notre bande de passionnés, pour créer ensemble, la meilleure expérience de contenus et faire rayonner la diversité culturelle à travers le monde. Bienvenue chez CANAL+. Intégrez la Direction Financière pour construire, consolider et accompagner le 1er groupe média français à l’international. Des milliers de films à budgéter, à consolider, un peu de jonglage avec les chiffres…et de l'émotion du cinéma devant l'écran.


Description du poste
Au sein de la Direction Financière du Groupe Canal +, au service contrôle de gestion, vous assistez le Responsable Contrôle de gestion de la Direction du Pôle Gratuit (C8 & CStar).
Vous aurez pour principales missions :

Élaborer le budget et sa révision trimestrielle ;
Réaliser les travaux de clôture (validation de la cohérence des écritures comptables en rapport avec les grilles de programmation, production des provisions) ;
Élaborer les reporting mensuel, trimestriel, et annuel (production des tableaux de bord) et leur analyse ;
Réaliser les analyses ponctuelles d’activité en liaison avec les équipes opérationnelles et financières.


  Qualifications

Profil de formation BAC +4/5 type Ecole de Commerce, Ingénieur, IEP, Universités ;
Vous justifiez idéalement d’une première expérience en Contrôle de Gestion ;
Vous recherchez un stage de seconde partie de césure ou de fin d'études ;
Vous êtes sensible au secteur des médias et à nos contenus ;
Vous aimez analyser des multitudes de données et leur donner un sens ;


Vous avez un bon sens relationnel et aimez travailler en équipe ;
Vous maîtrisez Excel (plus que le CTRL V) et pourquoi pas SAP !



Informations supplémentaires
 Chez Canal+, à partir de juillet 2023 et pour 6 mois. À vos CVs !
",,,https://fr.indeed.com/rc/clk?jk=df0566c53b52f845&fccid=ae3d06b2409aec25&vjs=3
Alternance - Développeur JS H/F,alternance, Master ,,,Capgemini,Paris (75),"


Description de l'entreprise



 Sogeti est une marque du groupe Capgemini, avec une présence dans plus de 100 sites à travers le monde. Travaillant en étroite collaboration avec clients et partenaires pour tirer pleinement parti des technologies, Sogeti allie agilité et rapidité de mise en œuvre pour concevoir des solutions sur mesure innovantes et tournées vers l’avenir dans les domaines de l’Assurance Qualité et du Testing, du Cloud et de la Cybersécurité, et intégrant les technologies d’intelligence artificielle et d’automatisation. Sogeti aide les entreprises à accélérer le rythme de déploiement des solutions digitales grâce à son approche pragmatique, « value in the making », et sa passion pour les technologies.

 Le SogetiLabs Paris est le centre d’expertise technologique et d’innovation de Sogeti en IDF. Spécialisé dans l’Agilité et basé sur le concept de la CorpUp, il accompagne depuis Avril 2017 les clients de Sogeti (et du groupe Capgemini) dans leur transformation digitale en leur proposant une démarche alliant les points forts d’une StartUp (Rapidité, Créativité, Expertise, Ecosystème...) et d’une Corporate (Process, Industrialisation, Expérience, Connaissance...). Le SogetiLabs Paris n’est donc pas un simple plateau projet de Sogeti mais un vrai Studio Inno autonome au sein de Sogeti ayant son propre ADN, son propre mode de fonctionnement et ses propres règles. Rejoindre le SogetiLabs Paris, c’est rejoindre un centre d’excellence technologique qui prône l’autonomie, la proactivité et l’amélioration continue!





 Description de la mission



 Au niveau de ses projets, le SogetiLabs Paris applique la méthode Scrum et accorde donc dès le départ beaucoup de confiance et d’autonomie à ses équipes de développement qui, comme le prévoit la méthode, sont autonomes et auto-organisées (bien qu’étant accompagnées par un Scrum Master en tant que facilitateur et un Product Owner en tant qu’interface client). Chaque membre du Lab porte donc son sujet et est le seul garant de son avancement.

 Les Responsables de Cluster (AGILE -AR/VR -CLOUD/DEVOPS -DATA/IA -IOT/ROBOTICS -WEB/MOBILE) sont là pour challenger les choix technologiques et d’architecture sur les projets et accompagner les équipes de développement (en mettant l’accent sur le Test et le Craftsmanship). Vous l’aurez compris, le SogetiLabs Paris est, par ses projets Innovants et/ou de R&D, ses sessions de Veille (chaque vendredi), ses différents Clusters et son organisation en mode StartUp, l’endroit idéal pour poursuivre son développement technologique et monter en compétence sur les sujets émergents !

 Les missions


 Participer au développement du SogetiLabs Paris et du Cluster Web/Mobile (ateliers, événements, cérémonies, team-building, hackathons, code contests).
 Participer à un (des) projet(s) du Cluster Web/Mobile.
 Développer du code qui répond à nos attentes en termes d’excellence technologique.
 S‘assurer de la qualité des commits que vous livrez en testant systématiquement votre code.
 Prioriser les items du product backlog en collaboration avec le Scrum Master et le Product Owner de votre projet.
 Vous approprier votre projet aussi bien du point de vue technique que du point de vue fonctionnel (on ne cherche pas un «ticketteur» !)





 Profil



 Le candidat idéal est autonome, passionné et persévérant. Vous aimez trouver des solutions innovantes et élégantes à des problèmes que vous n’avez pas encore rencontrés. Nous ne cherchons pas quelqu’un qui sait déjà tout (ou plutôt qui croit tout savoir) mais une personne avec une véritable envie d’apprendre, de comprendre et de créer.


 Vous êtes étudiant en 4ème ou 5ème année en école d’ingénieur informatique ou de développeur/expert informatique,
 Vous recherchez une alternance ou un stage (6 mois),
 Dans l’idéal, vous avez déjà une première expérience de développement web
 Vous avez connaissance de la méthode Agile Scrum,
 Vous êtes à l’aise avec l’outil de versioning Git,
 Vous êtes familiers avec les concepts de test unitaires, test d’intégration et TDD.


 Capgemini, entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise.


",,,https://fr.indeed.com/rc/clk?jk=02229e892d5cdcf0&fccid=105ecfd0283f415f&vjs=3
Assistant/e de Direction/RH - Alternance ou Stage - Paris,"stage,alternance,télétravail",,,,Adenlab,75002 Paris 2e,"Adenlab est un cabinet en Conseil Marketing Digital : Conseils-Formations / Acquisition / Data
Nous accompagnons nos clients sur :
- Le Conseil & Formations en Marketing Digital pour les Directeurs et les Responsables E-Commerce
- L'Acquisition: Gestion des campagnes d'acquisition (SEA - SEO - SOCIAL - MARKETPLACE)
- La fiabilité des Datas (Tracking, Tag Management et Optimisation / Plan de marquage Analytics)
Chez Adenlab nous sommes curieux et extrêmement compétents.
Adenlab est certifié Google Partner Premier qui garantit :- la qualité des campagnes confiées à l’agence- le développement et l’utilisation d'outils d’automatisation par l’agence.
=> Nous sommes une agence à taille humaine qui propose des projets diversifiés et qui est à l'écoute de ses salariés.
Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un/e Assistante de Direction RH.
Nos 3 valeurs sont les moteurs de notre quotidien : Curiosité => Partage => Progrès.
Vos principales missions :

vous serez le bras droit des Cofondateurs
gestion administrative des nouveaux arrivants (contrats, CERFA, adhésion mutuelle…), accompagnement des salariés lors de la prise de poste
point d’entrée de nos interlocuteurs : prestataire paie, mutuelle, prévoyance, OPCO, écoles, préfecture, service santé au travail
gestion des départs des salariés, des arrêts maladies, des absences autorisés et des retards
gestion des tickets restaurants
édition et maintient à jour des fiches des salariés
responsable des commandes fournitures au bureau
responsable de la vie au bureau, participation à l’organisation d’événements (séminaire annuel Télémaque, soirée de fin d’année, organisation des pots etc)
gestion du courrier, collecte et classement des documents des clients
Avantages : Carte restaurant Swile à 9€ / Mutuelle / 50% de la carte navigo

Envie de travailler et de monter en compétence?
Dynamisme, rigueur, réactivité, discrétion et disponibilité, sont quelques unes des qualités recherchées ainsi qu’une bonne maîtrise des outils informatiques bureautiques, de l’orthographe et de la syntaxe.
Au-delà des compétences, nous recherchons une personnalité motivée dynamique qui a un souhait d'apprendre et qui pourra s'investir au sein d'un groupe dynamique.
Type d'emploi : Stage, Alternance
Programmation :

Travail en journée

Lieu du poste : Télétravail hybride (75002 Paris 2e)",,,https://fr.indeed.com/company/ADENLAB/jobs/Assistant-E-Direction-Rh-97be5fc9f2848956?fccid=37f4110d4ebd019b&vjs=3
Stage / Apprentissage Contrôle de Gestion (F/H),stage,Bac ,,,Ikos,Paris (75),"


Corporate
 


#contrôledegestion #finance #reporting


EXPERTS ET PASSIONNES
 IKOS est la société de conseil spécialisée dans l’ingénierie ferroviaire. À travers nos valeurs, nous nous engageons à participer à la transition écologique en développant les modes de transport du futur, qui seront sûrs et durables, ainsi qu’une énergie plus verte. Nos 1400 ingénieurs réalisent des projets avec le support de notre entité IKOS LAB qui pilote également nos programmes de recherches et de formations. IKOS a eu un très fort développement à travers le monde. Le Groupe compte actuellement 25 bureaux dans 13 pays (France, Espagne, Belgique, Allemagne, Suisse, Suède, Italie, Angleterre, Etats-Unis, Canada, Maroc, Portugal, Israël).
 Depuis notre création en 2005, nous accompagnons nos clients dans tous les domaines du ferroviaire : signalisation et contrôle commande, matériel roulant, courants faibles et télécom, courants forts et infrastructures.
 Contexte :
 Rattaché(e) à la responsable du contrôle de gestion groupe, votre rôle consistera à l’assister pour l’ensemble des sociétés du Groupe dans une optique de fiabilisation des données et d’amélioration continue.
 Vous aurez notamment à votre charge :

Le contrôle et l’optimisation des reportings internes
La collecte et l’analyse des indicateurs clés du groupe
Le suivi de la performance et l’analyse des écarts (vs N-1, prévisions, etc)
La réalisation d’études à la demande

 Ce poste est fait pour vous :
 Issu d’une formation Bac + 5 dans le domaine de la Finance/Contrôle de gestion (Ecole de commerce, Master), vous recherchez un stage ou un apprentissage de fin d’études.
 Doté(e) d’un bon relationnel, vous aurez des interactions avec l’ensemble des acteurs du groupe.
 Vous avez une aisance avec les données chiffrées et faites preuve de rigueur, de proactivité et de discrétion dans les missions qui vous sont confiées.
 Vous disposez d’un bon niveau Excel (recherche V, TCD, etc.) et d’anglais.
 Conformément à la réglementation, tous nos postes sont ouverts au recrutement de travailleurs handicapés.
 Pour postuler, veuillez envoyer votre CV à llopez@ikosconsulting.com
 #Levallois
 #LI-LL1

",,,https://fr.indeed.com/rc/clk?jk=380f50f90719fcba&fccid=af2359ae0a04c931&vjs=3
Stage juridique en legaltech (février - mars),stage,,2 mois,,Simulegal,Paris (75),"SIMULEGAL est une jeune startup incubée à AssasLab et à EuraTechnologies. Notre objectif est de faciliter la recherche juridique et la mise en relation client-avocat, en ciblant exactement l’aire d’expertise requise par le client.
L'idée est de créer le Doctolib du droit.
La recherche juridique s'effectue par des formulaires articulés sous la forme d’arbres décisionnels qui guident le client, affinent sa recherche jusqu'à lui proposer une réponse juridique et l'orienter vers le bon professionnel.
Exemple de page créée de A à Z par les stagiaires : https://www.simulegal.com/entreprise/entreprenariat/forme-juridique/
Description du poste
Si tu es intéressé par le monde des startups, passionné de droit, de logique juridique et doué d'une certaine autonomie, ce stage est fait pour toi. En étroite collaboration avec le créateur de Simulegal, tu auras un rôle central dans son développement. Le stage aura pour objectif de t'apprendre à devenir autonome et à t'insuffler une rigueur juridique en apprenant à te mettre dans la tête du juriste d'entreprise, de l'avocat et du consommateur. A la fin du stage, tu seras capable de simplifier et de modéliser n'importe quel problème de droit et de rédiger des articles et notes juridiques, qualités qui te serviront lors de tes études et dans ta carrière professionnelle.
TES MISSIONS:

Elaboration d'arbres décisionnels axés sur une thématique juridique concrète avec des outils comme Mindmup. Les sujets de droit sur lesquels tu travailleras dépendent de tes propres préférences et de la spécialisation que tu as choisis lors de tes études.
Création de formulaires juridiques destinés au public à travers le logiciel Typeform, à partir de ces arbres décisionnels.
Rédaction d'articles de formulaires qui accompagnerons les formulaires sur le site, de scripts posts instagram, de vidéos Youtube et Tiktok de vulgarisation juridique

Tout au long du stage, tu travailleras sur différents logiciels et tu apprendras à créer des pagez Web. Cependant, pas de compétences techniques à avoir sur les logiciels utilisés, je me chargerai de te former.
En fonction de tes aptitudes et de ton choix, tes missions pourront également s'étendre à la partie recherche, ainsi que la partie communication, marketing, etc. Le but étant que tu effectues tout au long du stage des tâches qui t'intéressent et dans lesquelles tu puisses t'épanouir.
Le stage se déroule en télétravail ou en pressentie à l'incubateur Assas lab (13e Paris) mais la supervision reste à distance.
Stage non rémunéré
Période : février - mars
Type d'emploi : StageDurée du contrat : 2 mois
Programmation :

Horaires aménageables
",,,https://fr.indeed.com/company/Simulegal/jobs/Stage-Juridique-Legaltech-9ba41e232f7939c3?fccid=3b603e60cf56ca9f&vjs=3
Stagiaire ou Apprenti contrôleur de gestion opérationnel H/F,"stage,alternance"," Grandes Ecole,bac ",24 mois,début 2023,BOUYGUES ENERGIES ET SERVICES,75015 Paris 15e,"Descriptif du poste : H/F Stagiaire ou Apprenti contrôleur de gestion opérationnel H/F en support de la Responsable gestion en fonction du choix du candidat.
Ecole au choix du candidat
Stage 6 mois ou Apprentissage à partir de début 2023. Entreprise : Bouygues Energies et Services sur Site de Maintenance dans Paris 15 ème
- les missions : o Participation à la réalisation du contrôle budgétaire mensuel : ▪ Facturation mensuelle ▪ Trésorerie : réalisation des lettres d’éclatement du groupement / restant-dû ▪ Analyse des dépenses analytiques (fournitures, main d’œuvre et sous traitants) ▪ Prévision d’activité des travaux de GER ▪ Réalisation de la Prise de Commande o Participation à l’optimisation des reportings financiers pour gagner en efficience o Remise à niveau analytique des imputations de diverses dépenses (frais informatiques, téléphone, véhicules, …) o Aide à l’élaboration des comptes-rendus mensuels d’exploitation
Profil du collaborateur : - Formation : Grandes Ecoles de Commerce / Profil Grandes Universités (Master bac +4/5) - Compétences requises : maîtrise d’Excel, option contrôle de gestion (de préférence) si école de commerce - Qualités : sérieux, relationnel, fiabilité, enthousiasme, rigueur, curiosité, envie d’apprendre, esprit d’entreprenariat, discrétion
Type d'emploi : Stage, AlternanceDurée du contrat : 6 - 24 mois
Salaire : 1 000,00€ à 1 500,00€ par mois
Avantages :

Titre-restaurant

Programmation :

Travail en journée

Lieu du poste : Un seul lieu de travail"," 1 000,00€ à 1 500,00€ ",mois,https://fr.indeed.com/company/Bouygues-Construction/jobs/Stagiaire-Ou-Apprenti-Contr%C3%B4leur-Gestion-Op%C3%A9rationnel-280b7e9c57e74d8c?fccid=b374d2575a883050&vjs=3
